Village Name,Gram Panchayat,TALUK,district
Kaadu Devandlahalli,Mastenahalli,Srinivaspur ,YADGIR
Chimalabandahalli,Kammasandra,Bangarpet ,YADGIR
Mathikunte,Manigatta,Kolar ,YADGIR
Chickamale,Huladenahalli,Malur ,YADGIR
H Byappalli,Hebbani,Mulbagal ,YADGIR
Kostenahalli,Mastenahalli,Srinivaspur ,YADGIR
Chinnapalli,Kammasandra,Bangarpet ,YADGIR
Nenumanahalli,Manigatta,Kolar ,YADGIR
Dinneri,Huladenahalli,Malur ,YADGIR
H Kodihalli,Hebbani,Mulbagal ,YADGIR
Kurubarahalli,Mastenahalli,Srinivaspur ,YADGIR
Kadiregowdanakote,Kammasandra,Bangarpet ,YADGIR
Shanubhoganahalli,Manigatta,Kolar ,YADGIR
Dinneri Plantation,Huladenahalli,Malur ,YADGIR
Hebbani,Hebbani,Mulbagal ,YADGIR
Mastenahalli,Mastenahalli,Srinivaspur ,YADGIR
Kaggilahalli,Kammasandra,Bangarpet ,YADGIR
Thippasandra,Manigatta,Kolar ,YADGIR
Eswaranahalli,Huladenahalli,Malur ,YADGIR
Kirumani,Hebbani,Mulbagal ,YADGIR
Noolapura,Mastenahalli,Srinivaspur ,YADGIR
Kammasandra,Kammasandra,Bangarpet ,YADGIR
Upavasapura,Manigatta,Kolar ,YADGIR
Hosabalahalli,Huladenahalli,Malur ,YADGIR
M Gollahalli,Hebbani,Mulbagal ,YADGIR
Thernahalli,Mastenahalli,Srinivaspur ,YADGIR
Kattampalli,Kammasandra,Bangarpet ,YADGIR
Bedli,Madderi,Kolar ,YADGIR
Huladenahalli,Huladenahalli,Malur ,YADGIR
Punyahalli,Hebbani,Mulbagal ,YADGIR
Venkatapura,Mastenahalli,Srinivaspur ,YADGIR
Kothapalya,Kammasandra,Bangarpet ,YADGIR
Cholaghatta,Madderi,Kolar ,YADGIR
Jinagathimmanahalli,Huladenahalli,Malur ,YADGIR
S Ananthapura,Hebbani,Mulbagal ,YADGIR
Anepalli,Mudinadagu,Srinivaspur ,YADGIR
Nagisettihalli,Kammasandra,Bangarpet ,YADGIR
Devarahalli,Madderi,Kolar ,YADGIR
Kurnahosahalli,Huladenahalli,Malur ,YADGIR
Sunnapakunte,Hebbani,Mulbagal ,YADGIR
Balevaripalli,Mudinadagu,Srinivaspur ,YADGIR
Parasepalli,Kammasandra,Bangarpet ,YADGIR
